アメリカ合衆国,USA,アメリカ,America,米国,United States of America
ソビエト社会主義共和国連邦,ソビエト連邦,ソ連邦,ソ連
ヨーロッパ,Europe,欧州
ロサンゼルス,ロスアンジェルス,Los Angeles,ロス
北海道内,道内
ビシー,ヴィシー,Vichy
アストラハン,Astrakhan
シュメール,スメル,Sumer
ソウル,Seoul
パンパ,Pampa
ユートピア,Utopia
アジア,Asia
アフリカ,Africa
アマゾン,Amazon
チェンナイ,Chennai
チャンギ,Changi
ビリャ,Villa
アウシュビッツ,アウシュヴィッツ,Auschwitz
アナトリア,Anatolia
アルザス,Alsace
アレクサンドリア,アレキサンドリア,Alexandria
アンカレジ,アンカレッジ,Anchorage
アビニョン,アヴィニョン,Avignon
ウインブルドン,ウィンブルドン,Wimbledon
ウズベク,Uzbek
エベレスト,エヴェレスト,Everest
オックスフォード,オクスフォード,Oxford
カウアイ,Kauai
カターニア,Catania
カムチャツカ,カムチャッカ,Kamchatka
カルバドス,カルヴァドス,Calvados
ガンジス,Ganges
クラクフ,Kraków,クラカウ,Cracow
グレートバリアリーフ,Great Barrier Reef
コスタデルソル,Costa del Sol
サラエボ,サラエヴォ,サライエボ,Sarajevo
シチリア,Sicilia,シシリー,Sicily
ジェノバ,ジェノヴァ,Genova
ソビエト,ソヴィエト,Soviet
チェコスロバキア,チェコスロヴァキア,Czechoslovakia
チェチェン,Chechen
チョモランマ,Chomolungma
ティムール,チムール,Timur,Tīmūr
トスカーナ,Toscana
ヌーメア,Nouméa
ノルマンディー,ノルマンディ,Normandie
バーデンバーデン,バーデン・バーデン,Baden-Baden
バラナシ,ヴァラナシ,Varanasi
バレンシア,ヴァレンシア,Valencia
ビエンチャン,ヴィエンチャン,Vientiane
ビクトリア,ヴィクトリア,Victoria
フランドル,Flandre
ブルターニュ,Bretagne
プロイセン,Preuen
プロバンス,プロヴァンス,Provence
ベナレス,Benares
ベネチア,ヴェネチア,ベネツィア,ヴェネツィア,Venezia
ボージョレー,ボージョレ,ボジョレー,ボジョレ,Beaujolais
ボンベイ,Bombay
バッファロー,バファロー,Buffalo
マンハッタン,Manhattan
ミシシッピー,ミシシッピ,Mississippi
メソポタミア,Mesopotamia
ユーゴスラビア,ユーゴスラヴィア,Yugoslavia
ラマンチャ,La Mancha
リバプール,リヴァプール,Liverpool
ロスアラモス,Los Alamos
ベニス,ヴェニス,Venice
ビュルツブルク,ヴュルツブルク,Würzburg
アルカトラズ,Alcatraz
インバネス,Inverness
ハイデルベルク,ハイデルベルグ,Heidelberg
ハルビン,ハルピン,哈爾浜,哈爾濱,哈爾賓,Harbin
ボルビック,ボルヴィック,Volvic
プロビデンス,プロヴィデンス,Providence
ラン,Laon
アタリ,Atari
ゲヘナ,Gehenna
サンタバーバラ,サンタ・バーバラ,Santa Barbara
シャバ,Shaba
セーヌ,Seine
トランシルバニア,トランシルヴァニア,Transylvania
ドナウ,Donau
ブッダ,Buddha
プロシア,Prussia
マカオ,Macao,Macau
カスティリャ,カスティリア,カスティージャ,カスティーヤ,カスティーリア,カスティーリャ,カスティーリヤ,Castilla
ストー,ストウ,Stowe
ラファイエット,LaFayette
アイゼナハ,Eisenach
アシガバート,アシガバード,アシガバット,アシハバード,Ashkhabad
イサベラ,Isabella
ウンターデンリンデン,ウンター・デン・リンデン,Unter den Linden
エレウシス,Eleusis
カルチエラタン,カルチエ・ラタン,Quartier Latin
カンプチア,Kampuchea
クロンシュタット,Kronstadt
グリニッジ,グリニジ,グリニッチ,Greenwich
グリンデルワルト,Grindelwald
グルジヤ,Gruziya
ケープケネディ,Cape Kennedy
ケララ,ケーララ,Kerala
コズロフ,Kozlov
サクソニア,Saxonia
サンレモ,サン・レモ,San Remo
サントドミンゴ,サント・ドミンゴ,Santo Domingo
シュトラスブルク,Strassburg
シュレジエン,Schlesien
スカンジナビア,スカンジナヴィア,スカンディナビア,スカンディナヴィア,Scandinavia
スバ,Suva
スベルドロフスク,スヴェルドロフスク,Sverdlovsk
セントヘレンズ,Saint Helens
セバストポリ,セバストポール,セヴァストポリ,セヴァストポール,Sevastopol
ダマスカス,ダマスクス,Damascus
ティルス,Tyrus
トロイア,トロヤ,Troia
ニネベ,ニネヴェ,Nineveh
ニューオーリンズ,ニュー・オーリンズ,New Orleans
ネープルス,Naples
ノブゴロド,ノヴゴロド,Novgorod
バイエルン,Bayern,ババリア,バヴァリア,Bavaria
バルチスタン,Baluchistan
ブレスラウ,Breslau
プラタイア,プラタイアイ,Plataiai
ベルグラード,Belgrade
ペグー,Pegu
ペトログラード,Petrograd
ホンゲイ,Hongai
マラヤ,Malaya
マレ,Male
ムルマンスク,Murmansk
モガディシオ,モガジシオ,モガディシュ,Mogadiscio
モロトフ,Molotov
ヨハネスブルク,ヨハネスバーグ,ヨハネスブルグ,Johannesburg
ルサカ,Lusaka
ロートリンゲン,Lothringen
ワガドゥグ,ワガドゥグー,ワガドゥーグー,Ouagadougou
バンクーバー,ヴァンクーヴァー,Vancouver
ウエストエンド,ウエスト・エンド,ウェストエンド,West End
オスマントルコ,オスマン・トルコ,Osmanli Turks
グランドキャニオン,グランド・キャニオン,Grand Canyon
サンホセ,サン・ホセ,San José
サンモリッツ,サン・モリッツ,Saint-Moritz
シリコンバレー,シリコン・バレー,Silicon Valley
セントヘレナ,セント・ヘレナ,Saint Helena
セントラルパーク,セントラル・パーク,Central Park
タイムズスクエア,タイムズ・スクエア,Times Square
ハイドパーク,ハイド・パーク,Hyde Park
ブエノスアイレス,ブエノス・アイレス,Buenos Aires
メキシコシティー,メキシコシティ,メキシコ・シティー,メキシコ・シティ,Mexico City
リオデジャネイロ,リオ・デ・ジャネイロ,Rio de Janeiro,リオ,Rio
ストーンヘンジ,Stonehenge
チャイナタウン,Chinatown
ラテンアメリカ,ラテン・アメリカ,Latin America
中東,ミドルイースト,Middle East,ME
エンデ,Ende
ジョージ,George
アナポリス,Annapolis
ウエストバージニア,ウェストバージニア,ウエストヴァージニア,ウェストヴァージニア,West Virginia
ウエストサイド,ウェストサイド,West Side
ウファ,Ufa
ウルム,Ulm
エブロ,Ebro
エルバ,Elba
オアフ,Oahu
オリノコ,Orinoco
カプリ,Capri
キングスタウン,Kingstown
コーカンド,Kokand
コインブラ,Coimbra
コミ,Komi
コルフ,Corfu
コンコード,Concord
サロニカ,Salonika
ザールラント,Saarland
シオン,Zion
シナイ,Sinai
スーサ,Susa
スクレ,Sucre
スターリングラード,Stalingrad
セジェスタ,Segesta
ソルトレークシティー,ソルトレークシティ,Salt Lake City
タンボラ,Tambora
チラナ,Tirana
ツーロン,トゥーロン,Toulon
デカン,Deccan
デロス,Delos
ドゥシャンベ,Dushanbe
ニューサウスウエールズ,ニューサウスウェールズ,New South Wales
ネジド,Nejd
ノルトラインウェストファーレン,ノルトラインヴェストファーレン,Nordrhein-Westfalen
ハル,Hull
バクー,Baku
パプア,Papua
パルナソス,Parnassos
ビアフラ,Biafra
フルンゼ,Frunze
ブハラ,Bukhara
プライア,Praia
ホワイトホール,Whitehall
マルヌ,Marne
ムババネ,Mbabane
メジナ,メディナ,Medina
モスル,Mosul
ラインラント,Rheinland
ラゴス,Lagos
アーマダバード,Ahmadabad
アスワンダム,Aswan Dam
アスワンハイダム,Aswan High Dam
アバダン,Abadan
オーストラレーシア,Australasia
オリッサ,Orissa
カタンガ,Katanga
カリーニングラード,Kaliningrad
カリカット,Calicut
コーンベルト,Corn Belt
コンノート,Connaught
サボイア,Savoia
サンタルチア,Santa Lucia
サンマルコ,San Marco
シュバーベン,シュヴァーベン,Schwaben
シレジア,Silesia
ジャガタラ,Jacatra
ジャムシェドプル,Jamshedpur
スマラン,Semarang
タウンズビル,タウンズヴィル,Townsville
ダッチハーバー,Dutch Harbor
チェリャビンスク,Chelyabinsk
ティンパンアレー,Tin Pan Alley
ディープサウス,Deep South
バクトリア,Bactria
バサースト,Bathurst
バンダルスリブガワン,Bandar Seri Begawan
パルティア,Parthia
ピルゼン,Pilsen
ファドゥーツ,Vaduz
ブラザビル,ブラザヴィル,Brazzaville
ブリュージュ,Bruges
ホルムスク,Kholmsk
ボローニア,Bologna
ポートビラ,Port Vila
モンテレー,Monterrey
モンロビア,Monrovia
リトルトウキョウ,Little Tokyo
ルアーブル,ルアーヴル,Le Havre
レークプラシッド,Lake Placid
サンフランシスコ,San Francisco,SF,シスコ
シャイアン,Cheyenne
アルスター,Ulster
デッドウッド,Deadwood
デラウエア,デラウェア,Delaware
シャンパーニュ,Champagne
デルフィ,Delphi,デルフォイ,デルポイ,Delphoi
ミッドウエー,ミッドウェー,ミッドウエイ,ミッドウェイ,Midway
ブロードウエー,ブロードウェー,ブロードウエイ,ブロードウェイ,Broadway
ホーマー,Homer
ビキニ,Bikini
チャーチル,Churchill
メイン,メーン,Maine
ワシントン,Washington
アトランティス,Atlantis
アラスカ,Alaska
アラブ,Arab
アリューシャン,Aleutian
アルプス,Alps
アンコール,Angkor
アンゴラ,Angora
イスタンブール,Istanbul
ウイグル,Uighur
ウエールズ,ウェールズ,Wales
エルサレム,イェルサレム,Jerusalem
オクシデント,Occident
オセアニア,Oceania
オリエント,Orient
オリンピア,Olympia
カイロ,Cairo
カリフォルニア,California
カレー,Calais
キール,Kiel
サハリン,Sakhalin
シドニー,Sydney
シベリア,Siberia
シルクロード,Silk Road
ジャカルタ,Jakarta
スコットランド,Scotland
スパルタ,Sparta
セダン,Sedan
タール,Thar
チャコ,Chaco
テキサス,Texas
ナイロビ,Nairobi
ニューヨーク,New York
ハワイ,Hawaii
バグダッド,Baghdad
パリ,Paris
パレスチナ,Palestine
ヒマラヤ,Himalaya
フェニックス,Phoenix
プラハ,Praha
ベルリン,Berlin
ペルシャ,ペルシア,波斯,Persia
ポリネシア,Polynesia
ミクロネシア,Micronesia
メス,Metz
メッカ,Mecca
メラネシア,Melanesia
モスクワ,Moskva,モスコー,Moscow
モンテーニュ,Montaigne
ヤクート,Yakut
ユーラシア,Eurasia
ローマ,Roma
ロンドン,London
ドーリア,Doria
プレーリー,prairie
ヨーク,York
キルギス,Kyrgyz
アラゴン,Aragon
ビエナ,ヴィエナ,Vienna,ウィーン,ウイーン,Wien
オースティン,Austin
カストロ,Castro
グラナダ,Granada
ダグラス,Douglas
ダンカン,Duncan
ハミルトン,Hamilton
ブリテン,Britain
マンハイム,Mannheim
ランカスター,Lancaster
サンパウロ,So Paulo
チューリヒ,チューリッヒ,Zrich
バージニア,ヴァージニア,Virginia
バーモント,ヴァーモント,Vermont
ベルサイユ,ヴェルサイユ,Versailles
カタルーニャ,Cataluña,カタロニア,Catalonia
アーカンソー,Arkansas
アーヘン,Aachen
アーリントン,Arlington
アイオワ,Iowa
アカプルコ,Acapulco
アスコット,Ascot
アスワン,Aswan
アセンズ,Athens
アッカド,Akkad
アッサム,Assam
アッシジ,Assisi
アッシリア,Assyria
アテナイ,Athenai
アデレード,Adelaide
アトランタ,Atlanta
アビシニア,Abyssinia
アビジャン,Abidjan
アフガン,Afghan
アミアン,Amiens
アムステルダム,Amsterdam
アユタヤ,Ayutthaya
アラバマ,Alabama
アリゾナ,Arizona
アルジェ,Alger
アレッツォ,Arezzo
アレッポ,Aleppo
アンカラ,Ankara
アンタナナリボ,Antananarivo
アンダマン,Andaman
アントワープ,Antwerp
アンマン,Amman
イートン,Eton
イオニア,Ionia
イスラマバード,Islamabad
イズミル,Izmir
イリノイ,Illinois
イルクーツク,Irkutsk
イングランド,England
インスブルック,Innsbruck
インディアナ,Indiana
インディアナポリス,Indianapolis
インドシナ,Indochina
インパール,Imphal
ウイスコンシン,ウィスコンシン,Wisconsin
ウインザー,ウィンザー,Windsor
ウインチェスター,ウィンチェスター,Winchester
ベストファーレン,ヴェストファーレン,ウエストファーレン,ウェストファーレン,Westfalen,ウエストファリア,ウェストファリア,Westphalia
ウエストミンスター,ウェストミンスター,Westminster
ウプサラ,Uppsala
ウラジーミル,Vladimir
ウランバートル,Ulan Bator
ウンブリア,Umbria
エジンバラ,エディンバラ,Edinburgh
エセックス,Essex
エッセン,Essen
オクラホマ,Oklahoma
オデッサ,Odessa
オハイオ,Ohio
オホーツク,Okhotsk
オルレアン,Orléans
オレゴン,Oregon
オンタリオ,Ontario
カーディフ,Cardiff
カールスルーエ,Karlsruhe
カサブランカ,Casablanca
カシミール,Kashmir
カトマンズ,Katmandu
カフカス,Kavkaz
カブール,カーブル,Kabul
カリアリ,Cagliari
カリマンタン,Kalimantan
カルカッタ,Calcutta
カルガリー,Calgary
カルタゴ,Carthago
カレリア,Karelia
カンタベリー,Canterbury
カンパラ,Kampala
キャンベラ,Canberra
キンシャサ,Kinshasa
キンバリー,Kimberley
クリーブランド,クリーヴランド,Cleveland
クリスチャニア,Christiania
グアダラハラ,Guadalajara
グラーツ,Graz
グラスゴー,Glasgow
グルノーブル,Grenoble
ケベック,Qubec
ケンタッキー,Kentucky
ケンブリッジ,Cambridge
ゲッセマネ,Gethsemane
ゲティスバーグ,Gettysburg
コーカサス,Caucasus
コーシー,Cauchy
コナクリ,Conakry
コネチカット,Connecticut
コペンハーゲン,Copenhagen
コリント,Corinth
コルサコフ,Korsakov
コロンボ,Colombo
コンスタンツ,Konstanz
ゴルゴタ,Golgotha
サウサンプトン,Southampton
サウスカロライナ,South Carolina
サクラメント,Sacramento
サセックス,Sussex
サマルカンド,Samarkand
サラゴサ,Zaragoza
サラトガ,Saratoga
サラミス,Salamis
サントス,Santos
ザイール,Zaire
ザクセン,Sachsen
ザグレブ,Zagreb
ザルツブルク,Salzburg
ザンジバル,Zanzibar
シアトル,Seattle
シェフィールド,Sheffield
シッキム,Sikkim
シャルトル,Chartres
シュトゥットガルト,シュツットガルト,Stuttgart
シンシナティ,Cincinnati
ジェノア,Genoa
ジパング,Zipangu
ジュネーブ,Genve
ジョージタウン,Georgetown
ストックホルム,Stockholm
ストラスブール,Strasbourg
スラバヤ,Surabaya
スワジランド,Swaziland
セゴビア,Segovia
セビリア,Sevilla
セレベス,Celebes
ソフィア,Sofia
ソレント,Sorrento
ゾーリンゲン,Solingen
タシケント,Tashkent
タスマニア,Tasmania
ダージリン,Darjeeling
ダーバン,Durban
ダニューブ,Danube
ダブリン,Dublin
ダンケルク,Dunkerque
チェルノブイリ,Chernobyl'
テネシー,Tennessee
テヘラン,Teheran
ディキシー,Dixie
デトロイト,Detroit
トゥール,Tours
トビリシ,Tbilisi
トラファルガー,Trafalgar
トリエステ,Trieste
トリポリ,Tripoli
トルキスタン,Turkestan
トレント,Trento
トロント,Toronto
ドルトムント,Dortmund
ドレスデン,Dresden
ナッソー,Nassau
ナホトカ,Nakhodka
ニコシア,Nicosia
ニューカッスル,Newcastle
ノッティンガム,Nottingham
ノボシビルスク,ノヴォシビルスク,Novosibirsk
ハーレム,Harlem
ハバロフスク,Khabarovsk
ハリウッド,Hollywood
バーゼル,Basel
バーミンガム,Birmingham
バビロニア,Babylonia
バビロン,Babylon
バルセロナ,Barcelona
バンガロール,Bangalore
バンタム,Bantam
パサディナ,パサデナ,Pasadena
パドバ,パドヴァ,Padova
パミール,Pamir
パラマリボ,Paramaribo
パレルモ,Palermo
パレンバン,Palembang
ヒューストン,Houston
ビザンチン,Byzantine
ビシュケク,Bishkek
ビルバオ,Bilbao
ピッツバーグ,Pittsburgh
ファルツ,Pfalz
フィラデルフィア,Philadelphia
フィレンツェ,Firenze
フェニキア,Phoenicia
フォンテーヌブロー,Fontainebleau
フライブルク,Freiburg
フランクフルト,Frankfurt
フランダース,Flanders
フローレンス,Florence
フロリダ,Florida
ブカレスト,Bucharest
ブダペスト,Budapest
ブラジリア,Braslia
ブラッセル,Brussel,Brussels
ブランデンブルク,Brandenburg
ブリストル,Bristol
ブリスベーン,Brisbane
ブリュッセル,Bruxelles
ブルゴーニュ,Bourgogne
ブルックリン,Brooklyn
ブレーメン,Bremen
ブレスト,Brest
プノンペン,Phnom Penh
プラッシー,Plassey
プリマス,Plymouth
プリンストン,Princeton
プレトリア,Pretoria
ヘッセン,Hessen
ヘルシンキ,Helsinki
ヘルツェゴビナ,ヘルツェゴヴィナ,Hercegovina
ベイルート,Beirut
ベオグラード,Beograd
ベルファスト,Belfast
ベルモパン,Belmopan
ベンガジ,Benghazi
ベンガル,Bengal
ペルセポリス,Persepolis
ペルピニャン,Perpignan
ホニアラ,Honiara
ホノルル,Honolulu
ボストン,Boston
ボスニア,Bosnia
ボヘミア,Bohemia
ボルドー,Bordeaux
ポツダム,Potsdam
マグレブ,Maghreb
マケドニア,Macedonia
マサチューセッツ,Massachusetts
マドラス,Madras
マドリード,Madrid
マナグア,Managua
マプート,Maputo
マラケシュ,Marrakesh
マルセイユ,マルセーユ,Marseille
マンダレー,Mandalay
マンチェスター,Manchester
ミシガン,Michigan
ミズーリ,Missouri
ミネアポリス,Minneapolis
ミネソタ,Minnesota
ミュンヘン,Mnchen
ミルウォーキー,Milwaukee
ミンスク,Minsk
メッシーナ,Messina
メドック,Mdoc
メリーランド,Maryland
メルボルン,Melbourne
メンフィス,Memphis
モンタナ,Montana
モンテビデオ,Montevideo
モントリオール,Montreal
モンドリアン,Mondriaan
モンバサ,Mombasa
モンパルナス,Montparnasse
モンペリエ,Montpellier
モンマルトル,Montmartre
ヤクーツク,Yakutsk
ヤンゴン,Yangon
ラホール,Lahore
ランカシャー,Lancashire
ラングーン,Rangoon
ラベンナ,ラヴェンナ,Ravenna
リスボン,Lisbon
リッチモンド,Richmond
リビエラ,リヴィエラ,Riviera
リモージュ,Limoges
リューベック,Lbeck
リュクサンブール,Luxembourg
ルイジアナ,Louisiana
ルビコン,Rubicon
レニングラード,Leningrad
ローザンヌ,Lausanne
ローデシア,Rhodesia
トラジャ,Toraja
コルドバ,cordoba
サマリア,Samaria
シャモニー,シャモニ,Chamonix
ロアール,ロワール,Loire
ジャバ,ジャワ,Java
アウグスブルク,アウクスブルク,アウグスブルグ,Augsburg
アキテーヌ,Aquitaine
アジスアベバ,Addis Ababa
アタカマ,Atacama
アルビオン,Albion
イーストエンド,East End
イーストサイド,East Side
イエローストーン,Yellowstone
イベリア,Iberia
ウィニペグ,Winnipeg
ウランウデ,Ulan-Ude
エクバタナ,Ecbatana
エローラ,Ellora
オークリッジ,Oak Ridge
カストリーズ,Castries
カッパドキア,Cappadocia
カノッサ,Canossa
カラカス,Caracas
カラコルム,Karakorum
カラハリ,Kalahari
カンザスシティー,カンザスシティ,Kansas City
ガダルカナル,Guadalcanal
クアラルンプール,Kuala Lumpur
グレートブリテン,Great Britain
ケープタウン,Cape Town
コブレンツ,Koblenz
コンスタンチノープル,Constantinople
ゴールドコースト,Gold Coast
サウスダコタ,South Dakota
サンアントニオ,San Antonio
サンジェルマン,Saint-Germain
サンディエゴ,San Diego
シーラーズ,Shiraz
シラクサ,Siracusa
セントジョンズ,Saint John's
セントポール,Saint Paul
セントルイス,Saint Louis
セントローレンス,Saint Lawrence
ダカール,Dakar
ツールーズ,トゥールーズ,Toulouse
トルクメン,Turkmen
ニーダーザクセン,Niedersachsen
ニューイングランド,New England
ニューカレドニア,New Caledonia
ニューギニア,New Guinea
ニュージャージー,New Jersey
ニューデリー,New Delhi
ニューハンプシャー,New Hampshire
ニューメキシコ,New Mexico
ノースキャロライナ,ノースカロライナ,North Carolina
ノースダコタ,North Dakota
ハイデラバード,Hyderabad
ハボローネ,Gaborone
ハルツーム,Khartoum
ハンプシャー,Hampshire
バセテール,バステール,Basseterre
パルミラ,Palmyra
パンゲア,Pangaea
ピカデリー,Piccadilly
ファーイースト,Far East
フナフティ,Funafuti
フリータウン,Freetown
ブリッジタウン,Bridgetown
ペルガモン,Pergamon
ボルチモア,Baltimore
ポートサイド,Port Said
ポートモレスビー,Port Moresby
ポートルイス,Port Louis
ポンペイ,Pompeii
マウナロア,Mauna Loa
マナーマ,Manama
マラッカ,Malacca
マリーノ,Marino
モヘンジョダロ,Mohenjo-daro
モンテカルロ,Monte Carlo
ラップランド,Lapland
ラプラタ,La Plata
リディア,Lydia
リリパット,Lilliput
リロングウェ,Lilongwe
ルーアン,Rouen
ルアンダ,Luanda
ローツェ,Lhotse
ローテンブルク,Rothenburg
ロードアイランド,Rhode Island
ロッキー,Rocky
ロングアイランド,Long Island
ロングビーチ,Long Beach
ロンドンデリー,Londonderry
ロンバルディア,Lombardia
ウォルポール,Walpole
グラッドストーン,グラッドストン,Gladstone
シハヌーク,Sihanouk
スタンリー,Stanley
アクラ,Accra
アグラ,Agra
アデン,Aden
アビラ,Avila
アピア,Apia
アルタイ,Altai
アルル,Arles
ウェセックス,Wessex
ウラル,Ural
エデン,Eden
エトナ,Etna
エトルリア,Etruria
オスロ,Oslo
オタワ,Ottawa
オムスク,Omsk
オリンパス,Olympus
オリンポス,Olympos
カザフ,Kazakh
カナン,Canaan
カラチ,Karachi
カルパティア,カルパチア,Carpathia
カンザス,Kansas
カンダハール,カンダハル,Kandahar
カンヌ,Cannes
カンパーニア,Campania
ガラテヤ,Galatia
キエフ,Kiev
キガリ,Kigali
キト,Quito
ギアナ,Guiana
クスコ,Cuzco
クテシフォン,Ctesiphon
ケント,Kent
ゲッティンゲン,ゲッチンゲン,Göttingen
コルス,Corse
コロマンデル,Coromandel
ゴモラ,Gomorrha
ゴンドワナ,Gondwana
サバ,Sabah
サラワク,Sarawak
サンチアゴ,Santiago
サンベルト,Sunbelt
ザール,Saar
ザンベジ,Zambezi
シェトランド,Shetland
シエナ,Siena
シカゴ,Chicago
シドッチ,Sidotti
シムラ,Simla
ジュラ,Jura
ジョホール,Johore
スエズ,Suez
スオミ,Suomi
スラウェシ,Sulawesi
ソドム,Sodom
タコマ,Tacoma
タジク,Tadzhik
タヒチ,Tahiti
タラワ,Tarawa
タンガニーカ,Tanganyika
タンジール,Tangier
ダッカ,Dacca,Dhaka
ダラス,Dallas
ダンチヒ,Danzig
チタ,Chita
チロル,Tirol
テーベ,Thebes
テグシガルパ,Tegucigalpa
テニアン,Tinian
テルモピレー,Thermopylai
デボン,デヴォン,Devon
デリー,Delhi
デンバー,デンヴァー,Denver
トリノ,Torino
トレド,Toledo
ドーハ,Doha
ドニエプル,Dnepr
ドバイ,Dubai
赤石山脈,南アルプス,南ア
パンチボウル,Punchbowl
