消費生活協同組合,生活協同組合,生協,CO・OP,COOP,コープ
ナチス,Nazis,ナチ
世界銀行,世銀
アジア救済連盟,LARA,ララ,Licensed Agency for Relief on Asia
宇宙航空研究開発機構,JAXA,Japan Aerospace Exploration Agency
日本私立学校振興・共済事業団,私学事業団,私学共済
警察職員生活協同組合,警生協
健康保険組合連合会,健保連
国民健康保険団体連合会,国保連合会,国保連
電気通信産業労働者共済生活協同組合,電通共済生協
全国共済水産業協同組合連合会,JF共水連
健康保険組合,健保組合
全国労働者共済生活協同組合連合会,全労済
都道府県労働委員会,地方労働委員会,地労委
地方公共団体,地方団体,地方自治体,地方自治団体,自治団体,自治体
財務省,大蔵省
環境省,環境庁
国家公務員共済組合連合会,KKR
全国交通運輸産業労働者共済生活協同組合,交運共済
全国理容生活衛生同業組合連合会,全理連
中小企業基盤整備機構,中小機構
日本勤労者住宅協会,勤住協
日本郵政グループ労働者共済生活協同組合,JP共済生協
県民共済生活協同組合,県民共済
都民共済生活協同組合,都民共済
道民共済生活協同組合,道民共済
府民共済生活協同組合,府民共済
消費生活協同組合連合会,生活協同組合連合会
地方住宅供給公社,住宅供給公社
特定公益増進法人,特増法人,特増
日本年金機構,年金機構,社会保険庁,社保庁
国立国語研究所,国語研,国研
国立教育政策研究所,国研
証券取引等監視委員会,SESC
教職員共済生活協同組合,教職員共済
知的障害者更生相談所,知更相
世界保健機関,WHO
国際労働機関,ILO
国際協力機構,JICA,ジャイカ
国連平和維持軍,PKF
欧州連合,EU,ヨーロッパ連合
欧州経済共同体,EEC,ヨーロッパ経済共同体
ASEAN自由貿易地域,AFTA,アフタ
非営利団体,NPO,非営利組織
